id	window	forward_repeat_number	reverse_repeat_number	telomeric_repeat
1	5390000	7	13	AACCT
1	5400000	12	6	AACCT
1	5410000	8	15	AACCT
1	5420000	7	3	AACCT
1	5430000	10	5	AACCT
1	5440000	5	7	AACCT
1	5450000	13	11	AACCT
1	5460000	4	4	AACCT
1	5470000	8	7	AACCT
1	5480000	13	6	AACCT
1	5490000	11	6	AACCT
1	5500000	9	2	AACCT
1	5510000	3	6	AACCT
1	5520000	6	8	AACCT
1	5530000	9	2	AACCT
1	5540000	10	5	AACCT
1	5550000	5	12	AACCT
1	5560000	9	8	AACCT
1	5570000	10	6	AACCT
1	5580000	8	9	AACCT
1	5590000	11	5	AACCT
1	5600000	11	4	AACCT
1	5610000	6	14	AACCT
1	5620000	4	6	AACCT
1	5630000	7	6	AACCT
1	5640000	13	3	AACCT
1	5650000	6	8	AACCT
1	5660000	8	10	AACCT
1	5670000	9	10	AACCT
1	5680000	10	7	AACCT
1	5690000	11	6	AACCT
1	5700000	3	8	AACCT
1	5710000	7	7	AACCT
1	5720000	5	12	AACCT
1	5730000	2	8	AACCT
1	5740000	4	4	AACCT
1	5750000	4	7	AACCT
1	5760000	6	7	AACCT
1	5770000	0	2	AACCT
1	5780000	7	17	AACCT
1	5790000	5	13	AACCT
1	5800000	2	16	AACCT
1	5810000	2	21	AACCT
1	5820000	2	30	AACCT
1	5830000	1	24	AACCT
1	5840000	6	26	AACCT
1	5850000	2	12	AACCT
1	5860000	1	10	AACCT
1	5870000	4	8	AACCT
1	5880000	5	6	AACCT
1	5890000	0	9	AACCT
1	5900000	1	8	AACCT
1	5910000	2	7	AACCT
1	5920000	5	7	AACCT
1	5930000	5	6	AACCT
1	5940000	0	0	AACCT
1	5950000	1	0	AACCT
1	5960000	2	1	AACCT
1	5970000	0	10	AACCT
1	5980000	0	5	AACCT
1	5990000	2	0	AACCT
1	6000000	3	1	AACCT
1	6010000	4	0	AACCT
1	6020000	2	6	AACCT
1	6030000	1	3	AACCT
1	6040000	2	7	AACCT
1	6050000	0	10	AACCT
1	6060000	1	11	AACCT
1	6070000	2	5	AACCT
1	6080000	0	1	AACCT
1	6090000	1	0	AACCT
1	6100000	1	0	AACCT
1	6110000	0	0	AACCT
1	6120000	0	0	AACCT
1	6130000	1	0	AACCT
1	6140000	1	0	AACCT
1	6150000	0	0	AACCT
1	6160000	0	0	AACCT
1	6170000	0	0	AACCT
1	6180000	0	1	AACCT
1	6190000	0	2	AACCT
1	6200000	5	2	AACCT
1	6210000	0	0	AACCT
1	6220000	1	0	AACCT
1	6230000	0	0	AACCT
1	6240000	0	0	AACCT
1	6250000	0	1	AACCT
1	6260000	0	1	AACCT
1	6270000	3	0	AACCT
1	6280000	1	0	AACCT
1	6290000	0	0	AACCT
1	6300000	0	0	AACCT
1	6310000	0	0	AACCT
1	6320000	0	0	AACCT
1	6330000	0	0	AACCT
1	6340000	2	0	AACCT
1	6350000	0	0	AACCT
1	6360000	2	0	AACCT
1	6370000	2	0	AACCT
1	6380000	1	0	AACCT
1	6390000	1	1	AACCT
1	6400000	2	3	AACCT
1	6410000	2	1	AACCT
1	6420000	3	6	AACCT
1	6430000	5	17	AACCT
1	6440000	5	17	AACCT
1	6450000	1	9	AACCT
1	6460000	0	14	AACCT
1	6470000	0	13	AACCT
1	6480000	0	9	AACCT
1	6490000	1	12	AACCT
1	6500000	3	13	AACCT
1	6510000	0	11	AACCT
1	6520000	0	14	AACCT
1	6530000	0	15	AACCT
1	6540000	0	12	AACCT
1	6550000	4	12	AACCT
1	6560000	6	6	AACCT
1	6570000	6	6	AACCT
1	6580000	4	7	AACCT
1	6590000	4	4	AACCT
1	6600000	8	8	AACCT
1	6610000	4	6	AACCT
1	6620000	0	11	AACCT
1	6630000	0	2	AACCT
1	6640000	0	4	AACCT
1	6650000	0	5	AACCT
1	6660000	1	9	AACCT
1	6670000	1	9	AACCT
1	6680000	1	8	AACCT
1	6690000	1	7	AACCT
1	6700000	2	2	AACCT
1	6710000	6	3	AACCT
1	6720000	7	2	AACCT
1	6730000	0	0	AACCT
1	6740000	14	1	AACCT
1	6750000	2	0	AACCT
1	6760000	6	0	AACCT
1	6770000	5	0	AACCT
1	6780000	5	0	AACCT
1	6790000	4	2	AACCT
1	6800000	3	0	AACCT
1	6810000	0	2	AACCT
1	6820000	0	2	AACCT
1	6830000	0	5	AACCT
1	6840000	0	3	AACCT
1	6850000	3	3	AACCT
1	6860000	1	3	AACCT
1	6870000	4	3	AACCT
1	6880000	2	28	AACCT
1	6890000	8	11	AACCT
1	6900000	0	10	AACCT
1	6910000	0	10	AACCT
1	6920000	0	6	AACCT
1	6930000	0	7	AACCT
1	6940000	0	2	AACCT
1	6950000	1	13	AACCT
1	6960000	0	13	AACCT
1	6970000	0	15	AACCT
1	6980000	0	7	AACCT
1	6990000	2	0	AACCT
1	7000000	4	1	AACCT
1	7010000	7	1	AACCT
1	7020000	1	1	AACCT
1	7030000	1	0	AACCT
1	7040000	9	1	AACCT
1	7050000	5	2	AACCT
1	7060000	3	2	AACCT
1	7070000	8	0	AACCT
1	7080000	3	0	AACCT
1	7090000	12	1	AACCT
1	7100000	8	4	AACCT
1	7110000	15	3	AACCT
1	7120000	11	3	AACCT
1	7130000	9	1	AACCT
1	7140000	12	1	AACCT
1	7150000	11	1	AACCT
1	7160000	8	3	AACCT
1	7170000	1	0	AACCT
1	7180000	13	0	AACCT
1	7190000	4	0	AACCT
1	7200000	6	3	AACCT
1	7210000	15	6	AACCT
1	7220000	17	6	AACCT
1	7230000	10	5	AACCT
1	7240000	18	2	AACCT
1	7250000	11	3	AACCT
1	7260000	14	0	AACCT
1	7270000	10	2	AACCT
1	7280000	10	7	AACCT
1	7290000	13	6	AACCT
1	7300000	10	3	AACCT
1	7310000	10	3	AACCT
1	7320000	7	4	AACCT
1	7330000	12	14	AACCT
1	7340000	4	6	AACCT
1	7350000	7	10	AACCT
1	7360000	11	5	AACCT
1	7370000	6	8	AACCT
1	7380000	11	7	AACCT
1	7390000	14	1	AACCT
1	7400000	13	1	AACCT
1	7410000	5	5	AACCT
1	7420000	3	8	AACCT
1	7430000	26	1	AACCT
1	7440000	19	0	AACCT
1	7450000	24	2	AACCT
1	7460000	14	1	AACCT
1	7470000	8	0	AACCT
1	7480000	14	0	AACCT
1	7490000	11	0	AACCT
1	7500000	10	0	AACCT
1	7510000	16	0	AACCT
1	7520000	11	0	AACCT
1	7530000	12	3	AACCT
1	7540000	8	2	AACCT
1	7550000	4	4	AACCT
1	7560000	6	6	AACCT
1	7570000	4	5	AACCT
1	7580000	3	2	AACCT
1	7590000	3	3	AACCT
1	7600000	4	2	AACCT
1	7610000	8	1	AACCT
1	7620000	8	0	AACCT
1	7630000	11	0	AACCT
1	7640000	8	10	AACCT
1	7650000	3	6	AACCT
1	7660000	1	9	AACCT
1	7670000	0	7	AACCT
1	7680000	0	8	AACCT
1	7690000	0	9	AACCT
1	7700000	0	7	AACCT
1	7710000	0	6	AACCT
1	7720000	0	2	AACCT
1	7730000	0	3	AACCT
1	7740000	0	1	AACCT
1	7750000	8	0	AACCT
1	7760000	10	0	AACCT
1	7770000	22	6	AACCT
1	7780000	32	0	AACCT
1	7790000	35	0	AACCT
1	7800000	24	1	AACCT
1	7810000	21	2	AACCT
1	7820000	18	2	AACCT
1	7830000	16	3	AACCT
1	7840000	13	3	AACCT
1	7850000	20	3	AACCT
1	7860000	10	1	AACCT
1	7870000	5	0	AACCT
1	7880000	11	0	AACCT
1	7890000	8	0	AACCT
1	7900000	13	1	AACCT
1	7910000	11	0	AACCT
1	7920000	10	1	AACCT
1	7930000	8	2	AACCT
1	7940000	2	5	AACCT
1	7950000	8	4	AACCT
1	7960000	10	0	AACCT
1	7970000	1	9	AACCT
1	7980000	1	4	AACCT
1	7990000	0	3	AACCT
1	8000000	1	2	AACCT
1	8010000	0	0	AACCT
1	8020000	1	3	AACCT
1	8030000	0	2	AACCT
1	8040000	1	4	AACCT
1	8050000	2	1	AACCT
1	8060000	1	9	AACCT
1	8070000	0	8	AACCT
1	8080000	0	28	AACCT
1	8090000	1	24	AACCT
1	8100000	3	16	AACCT
1	8110000	2	2	AACCT
1	8120000	0	0	AACCT
1	8130000	0	0	AACCT
1	8140000	0	0	AACCT
1	8150000	1	0	AACCT
1	8160000	0	0	AACCT
1	8170000	0	2	AACCT
1	8180000	0	0	AACCT
1	8190000	2	0	AACCT
1	8200000	0	1	AACCT
1	8210000	1	0	AACCT
1	8220000	0	0	AACCT
1	8230000	0	0	AACCT
1	8240000	0	0	AACCT
1	8250000	1	0	AACCT
1	8260000	0	0	AACCT
1	8270000	0	2	AACCT
1	8280000	0	0	AACCT
1	8290000	0	0	AACCT
1	8300000	0	0	AACCT
1	8310000	0	0	AACCT
1	8320000	0	0	AACCT
1	8330000	0	0	AACCT
1	8340000	0	0	AACCT
1	8350000	0	0	AACCT
1	8360000	0	0	AACCT
1	8370000	0	0	AACCT
1	8380000	0	0	AACCT
1	8390000	0	0	AACCT
1	8400000	0	0	AACCT
1	8410000	0	0	AACCT
1	8420000	0	0	AACCT
1	8430000	0	0	AACCT
1	8440000	0	0	AACCT
1	8450000	0	10	AACCT
1	8460000	0	3	AACCT
1	8470000	1	1	AACCT
1	8480000	3	3	AACCT
1	8490000	5	0	AACCT
1	8500000	0	2	AACCT
1	8510000	2	2	AACCT
1	8520000	1	3	AACCT
1	8530000	0	0	AACCT
1	8540000	2	1	AACCT
1	8550000	0	2	AACCT
1	8560000	0	1	AACCT
1	8570000	0	0	AACCT
1	8580000	0	1	AACCT
1	8590000	3	0	AACCT
1	8600000	6	0	AACCT
1	8610000	4	5	AACCT
1	8620000	1	13	AACCT
1	8630000	5	19	AACCT
1	8640000	0	4	AACCT
1	8650000	0	4	AACCT
1	8660000	1	4	AACCT
1	8670000	0	9	AACCT
1	8680000	0	13	AACCT
1	8690000	0	14	AACCT
1	8700000	0	3	AACCT
1	8710000	0	1	AACCT
1	8720000	0	0	AACCT
1	8730000	3	0	AACCT
1	8740000	0	0	AACCT
1	8750000	0	0	AACCT
1	8760000	2	2	AACCT
1	8770000	1	0	AACCT
1	8780000	0	0	AACCT
1	8790000	0	1	AACCT
1	8800000	1	0	AACCT
1	8810000	0	0	AACCT
1	8820000	1	0	AACCT
1	8830000	0	0	AACCT
1	8840000	0	0	AACCT
1	8850000	3	1	AACCT
1	8860000	1	0	AACCT
1	8870000	1	1	AACCT
1	8880000	3	0	AACCT
1	8890000	1	0	AACCT
1	8900000	3	5	AACCT
1	8910000	3	8	AACCT
1	8920000	5	6	AACCT
1	8930000	3	10	AACCT
1	8940000	2	10	AACCT
1	8950000	5	15	AACCT
1	8960000	4	17	AACCT
1	8970000	11	14	AACCT
1	8980000	8	28	AACCT
1	8990000	3	31	AACCT
1	9000000	6	27	AACCT
1	9010000	12	28	AACCT
1	9020000	2	15	AACCT
1	9030000	11	21	AACCT
1	9040000	10	24	AACCT
1	9050000	9	21	AACCT
1	9060000	5	6	AACCT
1	9070000	7	8	AACCT
1	9080000	11	9	AACCT
1	9090000	4	3	AACCT
1	9100000	4	4	AACCT
1	9110000	9	5	AACCT
1	9120000	14	6	AACCT
1	9130000	19	6	AACCT
1	9140000	12	2	AACCT
1	9150000	6	24	AACCT
1	9160000	5	14	AACCT
1	9170000	5	16	AACCT
1	9180000	5	5	AACCT
1	9190000	6	1	AACCT
1	9200000	3	0	AACCT
1	9210000	7	3	AACCT
1	9220000	4	4	AACCT
1	9230000	0	0	AACCT
1	9240000	0	0	AACCT
1	9250000	2	1	AACCT
1	9260000	4	1	AACCT
1	9270000	3	7	AACCT
1	9280000	1	2	AACCT
1	9290000	3	0	AACCT
1	9300000	1	0	AACCT
1	9310000	0	5	AACCT
1	9320000	1	4	AACCT
1	9330000	7	3	AACCT
1	9340000	10	4	AACCT
1	9350000	12	0	AACCT
